Dataset Variation,Distance Function,Target Company,Applicants Considered,TP,FP,TN,FN,Accuracy
with_gender_and_age,Statistic_intersection,uber-com,1,0,0,51,3,0.9444444444444444
with_gender_and_age,Statistic_intersection,uber-com,3,0,1,50,3,0.9259259259259259
with_gender_and_age,Statistic_intersection,uber-com,5,0,1,50,3,0.9259259259259259
with_gender_and_age,Statistic_intersection,uber-com,11,0,1,50,3,0.9259259259259259
with_gender_and_age,Statistic_intersection,salesforce,1,0,2,51,1,0.9444444444444444
with_gender_and_age,Statistic_intersection,salesforce,3,0,5,48,1,0.8888888888888888
with_gender_and_age,Statistic_intersection,salesforce,5,0,6,47,1,0.8703703703703703
with_gender_and_age,Statistic_intersection,salesforce,11,0,11,42,1,0.7777777777777778
with_gender_and_age,Statistic_intersection,google,1,1,7,39,7,0.7407407407407407
with_gender_and_age,Statistic_intersection,google,3,2,14,32,6,0.6296296296296297
with_gender_and_age,Statistic_intersection,google,5,4,25,21,4,0.46296296296296297
with_gender_and_age,Statistic_intersection,google,11,8,40,6,0,0.25925925925925924
with_gender_and_age,Statistic_intersection,ibm,1,0,5,41,8,0.7592592592592593
with_gender_and_age,Statistic_intersection,ibm,3,0,9,37,8,0.6851851851851852
with_gender_and_age,Statistic_intersection,ibm,5,2,12,34,6,0.6666666666666666
with_gender_and_age,Statistic_intersection,ibm,11,4,29,17,4,0.3888888888888889
with_gender_and_age,Statistic_intersection,tesla-motors,1,0,0,53,1,0.9814814814814815
with_gender_and_age,Statistic_intersection,tesla-motors,3,0,0,53,1,0.9814814814814815
with_gender_and_age,Statistic_intersection,tesla-motors,5,0,0,53,1,0.9814814814814815
with_gender_and_age,Statistic_intersection,tesla-motors,11,0,0,53,1,0.9814814814814815
with_gender_and_age,Statistic_intersection,nvidia,1,0,0,52,2,0.9629629629629629
with_gender_and_age,Statistic_intersection,nvidia,3,0,0,52,2,0.9629629629629629
with_gender_and_age,Statistic_intersection,nvidia,5,0,0,52,2,0.9629629629629629
with_gender_and_age,Statistic_intersection,nvidia,11,0,0,52,2,0.9629629629629629
with_gender_and_age,Statistic_intersection,facebook,1,0,0,53,1,0.9814814814814815
with_gender_and_age,Statistic_intersection,facebook,3,0,4,49,1,0.9074074074074074
with_gender_and_age,Statistic_intersection,facebook,5,0,7,46,1,0.8518518518518519
with_gender_and_age,Statistic_intersection,facebook,11,0,19,34,1,0.6296296296296297
with_gender_and_age,Statistic_intersection,microsoft,1,2,7,38,7,0.7407407407407407
with_gender_and_age,Statistic_intersection,microsoft,3,4,21,24,5,0.5185185185185185
with_gender_and_age,Statistic_intersection,microsoft,5,6,32,13,3,0.35185185185185186
with_gender_and_age,Statistic_intersection,microsoft,11,8,41,4,1,0.2222222222222222
with_gender_and_age,Statistic_intersection,adobe,1,1,4,46,3,0.8703703703703703
with_gender_and_age,Statistic_intersection,adobe,3,3,22,28,1,0.5740740740740741
with_gender_and_age,Statistic_intersection,adobe,5,4,29,21,0,0.46296296296296297
with_gender_and_age,Statistic_intersection,adobe,11,4,41,9,0,0.24074074074074073
with_gender_and_age,Statistic_intersection,oracle,1,0,13,37,4,0.6851851851851852
with_gender_and_age,Statistic_intersection,oracle,3,1,21,29,3,0.5555555555555556
with_gender_and_age,Statistic_intersection,oracle,5,1,27,23,3,0.4444444444444444
with_gender_and_age,Statistic_intersection,oracle,11,2,39,11,2,0.24074074074074073
with_gender_and_age,Statistic_intersection,apple,1,0,2,46,6,0.8518518518518519
with_gender_and_age,Statistic_intersection,apple,3,1,6,42,5,0.7962962962962963
with_gender_and_age,Statistic_intersection,apple,5,3,12,36,3,0.7222222222222222
with_gender_and_age,Statistic_intersection,apple,11,4,24,24,2,0.5185185185185185
with_gender_and_age,Statistic_intersection,amazon,1,0,9,42,3,0.7777777777777778
with_gender_and_age,Statistic_intersection,amazon,3,0,16,35,3,0.6481481481481481
with_gender_and_age,Statistic_intersection,amazon,5,1,23,28,2,0.5370370370370371
with_gender_and_age,Statistic_intersection,amazon,11,2,38,13,1,0.2777777777777778
with_gender_and_age,Statistic_intersection,twitter,1,0,1,49,4,0.9074074074074074
with_gender_and_age,Statistic_intersection,twitter,3,0,2,48,4,0.8888888888888888
with_gender_and_age,Statistic_intersection,twitter,5,0,5,45,4,0.8333333333333334
with_gender_and_age,Statistic_intersection,twitter,11,2,16,34,2,0.6666666666666666
